MOVIES,GENRE
The Firm,"Drama, Mystery, Thriller"
Fauda,"Action, Drama, Thriller"
The Clovehitch Killer,"Crime, Drama, Mystery"
Serebryanye konki,"Adventure, Drama, Family"
The Last Dance,"Documentary, Biography, History"
Death Wish,"Action, Crime, Drama"
We Can Be Heroes,"Action, Comedy, Drama"
The Blues Brothers,"Action, Adventure, Comedy"
The Highwaymen,"Biography, Crime, Drama"
Unknown,"Action, Mystery, Thriller"
Father of the Bride Part 3 (ish),"Short, Family"
Somos.,"Crime, Drama, History"
Hunt for the Wilderpeople,"Adventure, Comedy, Drama"
Eliza Graves,"Drama, Horror, Thriller"
Shin seiki evangerion,"Animation, Action, Drama"
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy"
Unorthodox,Drama
What Happened to Monday,"Action, Crime, Fantasy"
The Society,"Drama, Mystery, Sci-Fi"
12 Monkeys,"Adventure, Drama, Mystery"
Dirk Gently's Holistic Detective Agency,"Action, Adventure, Comedy"
The Best of Enemies,"Biography, Drama, History"
Sword Art Online,"Animation, Action, Adventure"
His House,"Drama, Horror, Thriller"
Troy: Fall of a City,"Action, Adventure, Fantasy"
Impractical Jokers,"Comedy, Reality-TV"
Unbreakable Kimmy Schmidt,Comedy
The Harder They Fall,"Drama, Western"
Atomic Blonde,"Action, Thriller"
Rango,"Animation, Adventure, Comedy"
The Defenders,"Action, Adventure, Crime"
The Lucky One,"Drama, Mystery, Romance"
Hush,"Horror, Thriller"
The Order,"Drama, Fantasy, Horror"
Santa Clarita Diet,"Comedy, Horror"
Hillbilly Elegy,Drama
Insatiable,"Comedy, Drama, Thriller"
Spy Kids,"Action, Adventure, Comedy"
The Boondocks,"Animation, Action, Comedy"
White House Down,"Action, Drama, Thriller"
Hemlock Grove,"Drama, Fantasy, Horror"
Mighty Morphin Power Rangers,"Action, Adventure, Family"
Love Island,Reality-TV
Gilmore Girls: A Year in the Life,"Comedy, Drama"
A Perfect Fit,"Comedy, Drama, Romance"
The Human Centipede (First Sequence),Horror
Explained,Documentary
Zenra kantoku,"Biography, Drama"
Cars 3,"Animation, Adventure, Comedy"
Southpaw,"Action, Crime, Drama"
Disenchantment,"Animation, Action, Adventure"
The Kissing Booth 3,"Comedy, Romance"
The A-Team,"Action, Adventure, Thriller"
In the Shadow of the Moon,"Crime, Mystery, Sci-Fi"
Steven Universe,"Animation, Action, Adventure"
Outside the Wire,"Action, Adventure, Fantasy"
Below Her Mouth,"Drama, Romance"
Girl From Nowhere,"Crime, Drama, Fantasy"
This Means War,"Action, Comedy, Romance"
Shaft,"Action, Comedy, Crime"
Lawrence of Arabia,"Adventure, Biography, Drama"
Mars Attacks!,"Comedy, Sci-Fi"
Versailles,"Biography, Drama, History"
Sweet Girl,"Action, Drama, Thriller"
