MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,DIRECTOR
Transformers: War for Cybertron,2020–2021,"Animation, Action, Adventure",7.4,"Jason Marnocha, Frank Todaro, Jake Foushee, Bill Rogers",2923,30,
Baywatch,2017,"Action, Comedy, Crime",5.5,"Director:Seth Gordon| Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas",170844,116,
Trollhunters,2016–2018,"Animation, Action, Adventure",8.4,"Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer",14759,23,
Snowpiercer,2020– ,"Action, Drama, Sci-Fi",6.9,"Daveed Diggs, Iddo Goldberg, Mickey Sumner, Alison Wright",39433,60,
Workin' Moms,2017– ,Comedy,7.7,"Catherine Reitman, Dani Kind, Juno Rinaldi, Philip Sternberg",12896,30,
The Devil All the Time,2020,"Crime, Drama, Thriller",7.1,"Director:Antonio Campos| Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke",108684,138,
Broadchurch,2013–2017,"Crime, Drama, Mystery",8.4,"David Tennant, Olivia Colman, Jodie Whittaker, Andrew Buchan",100611,48,
Fast & Furious 7,2015,"Action, Adventure, Thriller",7.1,"Director:James Wan| Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham",371194,137,
L.A.'s Finest,2019–2020,"Action, Comedy, Crime",6.0,"Jessica Alba, Gabrielle Union, Duane Martin, Zach Gilford",5667,60,
Good on Paper,2021,"Comedy, Romance",5.6,"Director:Kimmy Gatewood| Iliza Shlesinger, Britney Young, Christopher Nicholas Smith, Adam Lustick",8099,92,
Iron Fist,2017–2018,"Action, Adventure, Crime",6.5,"Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey",118859,55,
